date,code,open,high,low,close,volume,money,open_interest
2023-06-05 14:00:00,IM2306.CCFX,6610.8,6614.6,6595.6,6612.6,4378.0,5783786640.0,77899.0
2023-06-05 15:00:00,IM2306.CCFX,6613.0,6624.2,6608.4,6611.8,5916.0,7827802600.0,79250.0
2023-06-06 10:30:00,IM2306.CCFX,6606.0,6606.0,6558.6,6568.0,14655.0,19278673440.0,74656.0
2023-06-06 11:30:00,IM2306.CCFX,6568.0,6578.2,6544.4,6563.6,6768.0,8880883280.0,75401.0
2023-06-06 14:00:00,IM2306.CCFX,6562.2,6562.2,6517.6,6521.0,9102.0,11897269680.0,76725.0
2023-06-06 15:00:00,IM2306.CCFX,6520.4,6522.2,6451.0,6467.8,12716.0,16495384840.0,79589.0
2023-06-07 10:30:00,IM2306.CCFX,6479.8,6512.0,6462.6,6495.6,14020.0,18187965120.0,73681.0
2023-06-07 11:30:00,IM2306.CCFX,6495.6,6504.0,6465.2,6479.6,5798.0,7519701280.0,72566.0
2023-06-07 14:00:00,IM2306.CCFX,6480.6,6494.4,6475.2,6479.0,4342.0,5630302480.0,72160.0
2023-06-07 15:00:00,IM2306.CCFX,6479.2,6492.0,6456.6,6470.8,7506.0,9711967920.0,72035.0
2023-06-08 10:30:00,IM2306.CCFX,6470.6,6471.0,6419.6,6437.8,12879.0,16586987400.0,68663.0
2023-06-08 11:30:00,IM2306.CCFX,6438.0,6438.0,6389.6,6424.4,10276.0,13179273560.0,70786.0
2023-06-08 14:00:00,IM2306.CCFX,6423.0,6465.0,6406.4,6439.0,9576.0,12333168040.0,73134.0
2023-06-08 15:00:00,IM2306.CCFX,6439.0,6443.0,6422.4,6438.4,6455.0,8304271400.0,74479.0
2023-06-09 10:30:00,IM2306.CCFX,6449.8,6473.0,6435.8,6440.6,12112.0,15633504320.0,68025.0
2023-06-09 11:30:00,IM2306.CCFX,6440.4,6447.4,6418.0,6438.2,8050.0,10355609120.0,66857.0
2023-06-09 14:00:00,IM2306.CCFX,6439.8,6473.6,6432.0,6466.6,6953.0,8974854920.0,66471.0
2023-06-09 15:00:00,IM2306.CCFX,6467.4,6494.0,6463.6,6484.0,9248.0,11988358240.0,67406.0
2023-06-12 10:30:00,IM2306.CCFX,6480.0,6533.8,6472.2,6533.8,15723.0,20445691320.0,61223.0
2023-06-12 11:30:00,IM2306.CCFX,6533.8,6536.0,6509.2,6523.2,6572.0,8569198520.0,59925.0
2023-06-12 14:00:00,IM2306.CCFX,6522.6,6540.0,6507.0,6535.2,8076.0,10543706640.0,60664.0
2023-06-12 15:00:00,IM2306.CCFX,6536.4,6540.8,6511.0,6513.2,7591.0,9905296000.0,61749.0
2023-06-13 10:30:00,IM2306.CCFX,6503.0,6538.0,6503.0,6538.0,9871.0,12884567320.0,55323.0
2023-06-13 11:30:00,IM2306.CCFX,6537.8,6551.4,6532.6,6543.6,7050.0,9226068240.0,51892.0
2023-06-13 14:00:00,IM2306.CCFX,6543.6,6552.8,6533.0,6540.4,6258.0,8187369680.0,50396.0
2023-06-13 15:00:00,IM2306.CCFX,6539.2,6548.6,6537.0,6540.0,7550.0,9878782320.0,49924.0
2023-06-14 10:30:00,IM2306.CCFX,6545.4,6561.0,6535.2,6553.6,12370.0,16204666720.0,43148.0
2023-06-14 11:30:00,IM2306.CCFX,6553.6,6566.8,6537.8,6565.4,8095.0,10604183200.0,40008.0
2023-06-14 14:00:00,IM2306.CCFX,6566.8,6578.8,6554.8,6558.8,7559.0,9929702200.0,39797.0
2023-06-14 15:00:00,IM2306.CCFX,6558.8,6581.6,6556.2,6566.6,7728.0,10152111360.0,39531.0
2023-06-15 10:30:00,IM2306.CCFX,6579.6,6593.6,6560.2,6580.6,10652.0,14011698000.0,31300.0
2023-06-15 11:30:00,IM2306.CCFX,6581.2,6598.0,6577.2,6586.0,5863.0,7725937040.0,27788.0
2023-06-15 14:00:00,IM2306.CCFX,6588.4,6624.4,6575.0,6608.2,7664.0,10114090240.0,24521.0
2023-06-15 15:00:00,IM2306.CCFX,6609.0,6618.4,6600.8,6607.2,5879.0,7770603520.0,22763.0
2023-06-16 10:30:00,IM2306.CCFX,6607.6,6643.4,6602.2,6636.8,7397.0,9803853880.0,16307.0
2023-06-16 11:30:00,IM2306.CCFX,6636.0,6666.0,6629.2,6665.2,3783.0,5031095880.0,13246.0
2023-06-16 14:00:00,IM2306.CCFX,6664.6,6671.8,6649.8,6666.0,3068.0,4086455840.0,11255.0
2023-06-16 15:00:00,IM2306.CCFX,6665.8,6667.0,6660.4,6665.4,1791.0,2387359200.0,9968.0
2023-06-19 10:30:00,IM2307.CCFX,6639.0,6665.6,6635.0,6651.2,9950.0,13240847640.0,52582.0
2023-06-19 11:30:00,IM2307.CCFX,6651.2,6658.6,6639.2,6649.4,4774.0,6348512120.0,51802.0
2023-06-19 14:00:00,IM2307.CCFX,6648.0,6664.2,6640.0,6657.2,5068.0,6744745680.0,51914.0
2023-06-19 15:00:00,IM2307.CCFX,6656.8,6662.8,6645.4,6647.8,5156.0,6861525000.0,53244.0
2023-06-20 10:30:00,IM2307.CCFX,6638.8,6657.4,6633.4,6643.4,7853.0,10438052520.0,49628.0
2023-06-20 11:30:00,IM2307.CCFX,6643.2,6676.0,6635.6,6668.2,5375.0,7149204840.0,49643.0
2023-06-20 14:00:00,IM2307.CCFX,6668.8,6679.0,6654.2,6678.2,5006.0,6676841240.0,50919.0
